File Name,Unicode Symbol
cobweb,'\ue0a7'
cocoa_beans,'\ue0a8'
cod,'\ue0a9'
cod_bucket,'\ue0aa'
cod_spawn_egg,'\ue0ab'
comparator,'\ue0ac'
compass,'\ue0ad'
composter,'\ue0ae'
conduit,'\ue0af'
cooked_beef,'\ue0b0'
cooked_chicken,'\ue0b1'
cooked_cod,'\ue0b2'
cooked_mutton,'\ue0b3'
cooked_porkchop,'\ue0b4'
cooked_rabbit,'\ue0b5'
cooked_salmon,'\ue0b6'
cookie,'\ue0b7'
cornflower,'\ue0b8'
cow_spawn_egg,'\ue0b9'
cracked_nether_bricks,'\ue0ba'
cracked_polished_blackstone_bricks,'\ue0bb'
cracked_stone_bricks,'\ue0bc'
crafting_table,'\ue0bd'
creeper_banner_pattern,'\ue0be'
creeper_head,'\ue0bf'
creeper_spawn_egg,'\ue0c0'
crimson_button,'\ue0c1'
crimson_door,'\ue0c2'
crimson_fence,'\ue0c3'
crimson_fence_gate,'\ue0c4'
crimson_fungus,'\ue0c5'
crimson_hyphae,'\ue0c6'
crimson_nylium,'\ue0c7'
crimson_planks,'\ue0c8'
crimson_pressure_plate,'\ue0c9'
crimson_roots,'\ue0ca'
crimson_sign,'\ue0cb'
crimson_slab,'\ue0cc'
crimson_stairs,'\ue0cd'
crimson_stem,'\ue0ce'
crimson_trapdoor,'\ue0cf'
crossbow,'\ue0d0'
crying_obsidian,'\ue0d1'
cut_red_sandstone,'\ue0d2'
cut_red_sandstone_slab,'\ue0d3'
cut_sandstone,'\ue0d4'
cut_sandstone_slab,'\ue0d5'
cyan_banner,'\ue0d6'
cyan_bed,'\ue0d7'
cyan_carpet,'\ue0d8'
cyan_concrete,'\ue0d9'
cyan_concrete_powder,'\ue0da'
cyan_dye,'\ue0db'
cyan_glazed_terracotta,'\ue0dc'
cyan_shulker_box,'\ue0dd'
cyan_stained_glass,'\ue0de'
cyan_stained_glass_pane,'\ue0df'
cyan_terracotta,'\ue0e0'
cyan_wool,'\ue0e1'
damaged_anvil,'\ue0e2'
dandelion,'\ue0e3'
dark_oak_boat,'\ue0e4'
dark_oak_button,'\ue0e5'
dark_oak_door,'\ue0e6'
dark_oak_fence,'\ue0e7'
dark_oak_fence_gate,'\ue0e8'
dark_oak_leaves,'\ue0e9'
dark_oak_log,'\ue0ea'
dark_oak_planks,'\ue0eb'
dark_oak_pressure_plate,'\ue0ec'
dark_oak_sapling,'\ue0ed'
dark_oak_sign,'\ue0ee'
dark_oak_slab,'\ue0ef'
dark_oak_stairs,'\ue0f0'
dark_oak_trapdoor,'\ue0f1'
dark_oak_wood,'\ue0f2'
dark_prismarine,'\ue0f3'
dark_prismarine_slab,'\ue0f4'
dark_prismarine_stairs,'\ue0f5'
daylight_detector,'\ue0f6'
dead_brain_coral,'\ue0f7'
dead_brain_coral_block,'\ue0f8'
dead_brain_coral_fan,'\ue0f9'
dead_bubble_coral,'\ue0fa'
dead_bubble_coral_block,'\ue0fb'
dead_bubble_coral_fan,'\ue0fc'
dead_bush,'\ue0fd'
dead_fire_coral,'\ue0fe'
dead_fire_coral_block,'\ue0ff'
dead_fire_coral_fan,'\ue100'
dead_horn_coral,'\ue101'
dead_horn_coral_block,'\ue102'
dead_horn_coral_fan,'\ue103'
dead_tube_coral,'\ue104'
dead_tube_coral_block,'\ue105'
dead_tube_coral_fan,'\ue106'
detector_rail,'\ue107'
diamond,'\ue108'
diamond_axe,'\ue109'
diamond_block,'\ue10a'
diamond_boots,'\ue10b'
diamond_chestplate,'\ue10c'
diamond_helmet,'\ue10d'
diamond_hoe,'\ue10e'
diamond_horse_armor,'\ue10f'
diamond_leggings,'\ue110'
diamond_ore,'\ue111'
diamond_pickaxe,'\ue112'
diamond_shovel,'\ue113'
diamond_sword,'\ue114'
diorite,'\ue115'
diorite_slab,'\ue116'
diorite_stairs,'\ue117'
diorite_wall,'\ue118'
dirt,'\ue119'
dispenser,'\ue11a'
dolphin_spawn_egg,'\ue11b'
donkey_spawn_egg,'\ue11c'
dragon_breath,'\ue11d'
dragon_head,'\ue11e'
dried_kelp,'\ue11f'
dried_kelp_block,'\ue120'
dropper,'\ue121'
drowned_spawn_egg,'\ue122'
egg,'\ue123'
elder_guardian_spawn_egg,'\ue124'
elytra,'\ue125'
emerald,'\ue126'
emerald_block,'\ue127'
emerald_ore,'\ue128'
enchanted_book,'\ue129'
enchanted_book_1,'\ue12a'
enchanted_book_10,'\ue12b'
enchanted_book_100,'\ue12c'
enchanted_book_101,'\ue12d'
enchanted_book_102,'\ue12e'
enchanted_book_11,'\ue12f'
enchanted_book_12,'\ue130'
enchanted_book_13,'\ue131'
enchanted_book_14,'\ue132'
enchanted_book_15,'\ue133'
enchanted_book_16,'\ue134'
enchanted_book_17,'\ue135'
enchanted_book_18,'\ue136'
enchanted_book_19,'\ue137'
enchanted_book_2,'\ue138'
enchanted_book_20,'\ue139'
enchanted_book_21,'\ue13a'
enchanted_book_22,'\ue13b'
enchanted_book_23,'\ue13c'
enchanted_book_24,'\ue13d'
enchanted_book_25,'\ue13e'
enchanted_book_26,'\ue13f'
enchanted_book_27,'\ue140'
enchanted_book_28,'\ue141'
enchanted_book_29,'\ue142'
enchanted_book_3,'\ue143'
enchanted_book_30,'\ue144'
enchanted_book_31,'\ue145'
enchanted_book_32,'\ue146'
enchanted_book_33,'\ue147'
enchanted_book_34,'\ue148'
enchanted_book_35,'\ue149'
enchanted_book_36,'\ue14a'
enchanted_book_37,'\ue14b'
enchanted_book_38,'\ue14c'
enchanted_book_39,'\ue14d'
enchanted_book_4,'\ue14e'
enchanted_book_40,'\ue14f'
enchanted_book_41,'\ue150'
enchanted_book_42,'\ue151'
enchanted_book_43,'\ue152'
enchanted_book_44,'\ue153'
enchanted_book_45,'\ue154'
enchanted_book_46,'\ue155'
enchanted_book_47,'\ue156'
enchanted_book_48,'\ue157'
enchanted_book_49,'\ue158'
enchanted_book_5,'\ue159'
enchanted_book_50,'\ue15a'
enchanted_book_51,'\ue15b'
enchanted_book_52,'\ue15c'
enchanted_book_53,'\ue15d'
enchanted_book_54,'\ue15e'
enchanted_book_55,'\ue15f'
enchanted_book_56,'\ue160'
enchanted_book_57,'\ue161'
enchanted_book_58,'\ue162'
enchanted_book_59,'\ue163'
enchanted_book_6,'\ue164'
enchanted_book_60,'\ue165'
enchanted_book_61,'\ue166'
enchanted_book_62,'\ue167'
enchanted_book_63,'\ue168'
enchanted_book_64,'\ue169'
enchanted_book_65,'\ue16a'
enchanted_book_66,'\ue16b'
enchanted_book_67,'\ue16c'
enchanted_book_68,'\ue16d'
enchanted_book_69,'\ue16e'
enchanted_book_7,'\ue16f'
enchanted_book_70,'\ue170'
enchanted_book_71,'\ue171'
enchanted_book_72,'\ue172'
enchanted_book_73,'\ue173'
enchanted_book_74,'\ue174'
enchanted_book_75,'\ue175'
enchanted_book_76,'\ue176'
enchanted_book_77,'\ue177'
enchanted_book_78,'\ue178'
enchanted_book_79,'\ue179'
enchanted_book_8,'\ue17a'
enchanted_book_80,'\ue17b'
enchanted_book_81,'\ue17c'
enchanted_book_82,'\ue17d'
enchanted_book_83,'\ue17e'
enchanted_book_84,'\ue17f'
enchanted_book_85,'\ue180'
enchanted_book_86,'\ue181'
enchanted_book_87,'\ue182'
enchanted_book_88,'\ue183'
enchanted_book_89,'\ue184'
enchanted_book_9,'\ue185'
enchanted_book_90,'\ue186'
enchanted_book_91,'\ue187'
enchanted_book_92,'\ue188'
enchanted_book_93,'\ue189'
enchanted_book_94,'\ue18a'
enchanted_book_95,'\ue18b'
enchanted_book_96,'\ue18c'
enchanted_book_97,'\ue18d'
enchanted_book_98,'\ue18e'
enchanted_book_99,'\ue18f'
enchanted_golden_apple,'\ue190'
enchanting_table,'\ue191'
enderman_spawn_egg,'\ue192'
endermite_spawn_egg,'\ue193'
ender_chest,'\ue194'
ender_eye,'\ue195'
ender_pearl,'\ue196'
end_crystal,'\ue197'
end_portal_frame,'\ue198'
end_rod,'\ue199'
end_stone,'\ue19a'
end_stone_bricks,'\ue19b'
end_stone_brick_slab,'\ue19c'
end_stone_brick_stairs,'\ue19d'
end_stone_brick_wall,'\ue19e'
evoker_spawn_egg,'\ue19f'
experience_bottle,'\ue1a0'
farmland,'\ue1a1'
feather,'\ue1a2'
fermented_spider_eye,'\ue1a3'
fern,'\ue1a4'
firework_rocket,'\ue1a5'
firework_star,'\ue1a6'
fire_charge,'\ue1a7'
fire_coral,'\ue1a8'
fire_coral_block,'\ue1a9'
fire_coral_fan,'\ue1aa'
fishing_rod,'\ue1ab'
fletching_table,'\ue1ac'
flint,'\ue1ad'
flint_and_steel,'\ue1ae'
flower_banner_pattern,'\ue1af'
flower_pot,'\ue1b0'
fox_spawn_egg,'\ue1b1'
furnace,'\ue1b2'
furnace_minecart,'\ue1b3'
ghast_spawn_egg,'\ue1b4'
ghast_tear,'\ue1b5'
gilded_blackstone,'\ue1b6'
glass,'\ue1b7'
glass_bottle,'\ue1b8'
glass_pane,'\ue1b9'
glistering_melon_slice,'\ue1ba'
globe_banner_pattern,'\ue1bb'
glowstone,'\ue1bc'
glowstone_dust,'\ue1bd'
golden_apple,'\ue1be'
golden_axe,'\ue1bf'
golden_boots,'\ue1c0'
golden_carrot,'\ue1c1'
golden_chestplate,'\ue1c2'
golden_helmet,'\ue1c3'
golden_hoe,'\ue1c4'
golden_horse_armor,'\ue1c5'
golden_leggings,'\ue1c6'
golden_pickaxe,'\ue1c7'
golden_shovel,'\ue1c8'
golden_sword,'\ue1c9'
gold_block,'\ue1ca'
gold_ingot,'\ue1cb'
gold_nugget,'\ue1cc'
gold_ore,'\ue1cd'
granite,'\ue1ce'
granite_slab,'\ue1cf'
granite_stairs,'\ue1d0'
granite_wall,'\ue1d1'
grass,'\ue1d2'
grass_block,'\ue1d3'
grass_path,'\ue1d4'
gravel,'\ue1d5'
gray_banner,'\ue1d6'
gray_bed,'\ue1d7'
gray_carpet,'\ue1d8'
gray_concrete,'\ue1d9'
gray_concrete_powder,'\ue1da'
gray_dye,'\ue1db'
gray_glazed_terracotta,'\ue1dc'
gray_shulker_box,'\ue1dd'
gray_stained_glass,'\ue1de'
gray_stained_glass_pane,'\ue1df'
gray_terracotta,'\ue1e0'
gray_wool,'\ue1e1'
green_banner,'\ue1e2'
green_bed,'\ue1e3'
green_carpet,'\ue1e4'
green_concrete,'\ue1e5'
green_concrete_powder,'\ue1e6'
green_dye,'\ue1e7'
green_glazed_terracotta,'\ue1e8'
green_shulker_box,'\ue1e9'
green_stained_glass,'\ue1ea'
green_stained_glass_pane,'\ue1eb'
green_terracotta,'\ue1ec'
green_wool,'\ue1ed'
grindstone,'\ue1ee'
guardian_spawn_egg,'\ue1ef'
gunpowder,'\ue1f0'
hay_block,'\ue1f1'
heart_of_the_sea,'\ue1f2'
heavy_weighted_pressure_plate,'\ue1f3'
hoglin_spawn_egg,'\ue1f4'
honeycomb,'\ue1f5'
honeycomb_block,'\ue1f6'
honey_block,'\ue1f7'
honey_bottle,'\ue1f8'
hopper,'\ue1f9'
hopper_minecart,'\ue1fa'
horn_coral,'\ue1fb'
horn_coral_block,'\ue1fc'
horn_coral_fan,'\ue1fd'
horse_spawn_egg,'\ue1fe'
husk_spawn_egg,'\ue1ff'
ice,'\ue200'
infested_chiseled_stone_bricks,'\ue201'
infested_cobblestone,'\ue202'
infested_cracked_stone_bricks,'\ue203'
infested_mossy_stone_bricks,'\ue204'
infested_stone,'\ue205'
infested_stone_bricks,'\ue206'
ink_sac,'\ue207'
iron_axe,'\ue208'
iron_bars,'\ue209'
iron_block,'\ue20a'
iron_boots,'\ue20b'
iron_chestplate,'\ue20c'
iron_door,'\ue20d'
iron_helmet,'\ue20e'
iron_hoe,'\ue20f'
iron_horse_armor,'\ue210'
iron_ingot,'\ue211'
iron_leggings,'\ue212'
iron_nugget,'\ue213'
iron_ore,'\ue214'
iron_pickaxe,'\ue215'
iron_shovel,'\ue216'
iron_sword,'\ue217'
iron_trapdoor,'\ue218'
item_frame,'\ue219'
jack_o_lantern,'\ue21a'
jukebox,'\ue21b'
jungle_boat,'\ue21c'
jungle_button,'\ue21d'
jungle_door,'\ue21e'
jungle_fence,'\ue21f'
jungle_fence_gate,'\ue220'
jungle_leaves,'\ue221'
jungle_log,'\ue222'
jungle_planks,'\ue223'
jungle_pressure_plate,'\ue224'
jungle_sapling,'\ue225'
jungle_sign,'\ue226'
jungle_slab,'\ue227'
jungle_stairs,'\ue228'
jungle_trapdoor,'\ue229'
jungle_wood,'\ue22a'
kelp,'\ue22b'
ladder,'\ue22c'
lantern,'\ue22d'
lapis_block,'\ue22e'
lapis_lazuli,'\ue22f'
lapis_ore,'\ue230'
large_fern,'\ue231'
lava_bucket,'\ue232'
lead,'\ue233'
leather,'\ue234'
leather_boots,'\ue235'
leather_chestplate,'\ue236'
leather_helmet,'\ue237'
leather_horse_armor,'\ue238'
leather_leggings,'\ue239'
lectern,'\ue23a'
lever,'\ue23b'
light_blue_banner,'\ue23c'
light_blue_bed,'\ue23d'
light_blue_carpet,'\ue23e'
light_blue_concrete,'\ue23f'
light_blue_concrete_powder,'\ue240'
light_blue_dye,'\ue241'
light_blue_glazed_terracotta,'\ue242'
light_blue_shulker_box,'\ue243'
light_blue_stained_glass,'\ue244'
light_blue_stained_glass_pane,'\ue245'
light_blue_terracotta,'\ue246'
light_blue_wool,'\ue247'
light_gray_banner,'\ue248'
light_gray_bed,'\ue249'
light_gray_carpet,'\ue24a'
light_gray_concrete,'\ue24b'
light_gray_concrete_powder,'\ue24c'
light_gray_dye,'\ue24d'
light_gray_glazed_terracotta,'\ue24e'
light_gray_shulker_box,'\ue24f'
light_gray_stained_glass,'\ue250'
light_gray_stained_glass_pane,'\ue251'
light_gray_terracotta,'\ue252'
light_gray_wool,'\ue253'
light_weighted_pressure_plate,'\ue254'
lilac,'\ue255'
lily_of_the_valley,'\ue256'
lily_pad,'\ue257'
lime_banner,'\ue258'
lime_bed,'\ue259'
lime_carpet,'\ue25a'
lime_concrete,'\ue25b'
lime_concrete_powder,'\ue25c'
lime_dye,'\ue25d'
lime_glazed_terracotta,'\ue25e'
lime_shulker_box,'\ue25f'
lime_stained_glass,'\ue260'
lime_stained_glass_pane,'\ue261'
lime_terracotta,'\ue262'
lime_wool,'\ue263'
lingering_potion,'\ue264'
lingering_potion_1,'\ue265'
lingering_potion_10,'\ue266'
lingering_potion_11,'\ue267'
lingering_potion_12,'\ue268'
lingering_potion_13,'\ue269'
lingering_potion_14,'\ue26a'
lingering_potion_15,'\ue26b'
lingering_potion_16,'\ue26c'
lingering_potion_17,'\ue26d'
lingering_potion_18,'\ue26e'
lingering_potion_19,'\ue26f'
lingering_potion_2,'\ue270'
lingering_potion_20,'\ue271'
lingering_potion_21,'\ue272'
lingering_potion_22,'\ue273'
lingering_potion_23,'\ue274'
lingering_potion_24,'\ue275'
lingering_potion_25,'\ue276'
lingering_potion_26,'\ue277'
lingering_potion_27,'\ue278'
lingering_potion_28,'\ue279'
lingering_potion_29,'\ue27a'
lingering_potion_3,'\ue27b'
lingering_potion_30,'\ue27c'
lingering_potion_31,'\ue27d'
lingering_potion_32,'\ue27e'
lingering_potion_33,'\ue27f'
lingering_potion_34,'\ue280'
lingering_potion_35,'\ue281'
lingering_potion_36,'\ue282'
lingering_potion_37,'\ue283'
lingering_potion_38,'\ue284'
lingering_potion_39,'\ue285'
lingering_potion_4,'\ue286'
lingering_potion_40,'\ue287'
lingering_potion_5,'\ue288'
lingering_potion_6,'\ue289'
lingering_potion_7,'\ue28a'
lingering_potion_8,'\ue28b'
lingering_potion_9,'\ue28c'
llama_spawn_egg,'\ue28d'
lodestone,'\ue28e'
loom,'\ue28f'
magenta_banner,'\ue290'
magenta_bed,'\ue291'
magenta_carpet,'\ue292'
magenta_concrete,'\ue293'
magenta_concrete_powder,'\ue294'
magenta_dye,'\ue295'
magenta_glazed_terracotta,'\ue296'
magenta_shulker_box,'\ue297'
magenta_stained_glass,'\ue298'
magenta_stained_glass_pane,'\ue299'
magenta_terracotta,'\ue29a'
magenta_wool,'\ue29b'
magma_block,'\ue29c'
magma_cream,'\ue29d'
magma_cube_spawn_egg,'\ue29e'
map,'\ue29f'
melon,'\ue2a0'
melon_seeds,'\ue2a1'
melon_slice,'\ue2a2'
milk_bucket,'\ue2a3'
minecart,'\ue2a4'
mojang_banner_pattern,'\ue2a5'
mooshroom_spawn_egg,'\ue2a6'
mossy_cobblestone,'\ue2a7'
mossy_cobblestone_slab,'\ue2a8'
mossy_cobblestone_stairs,'\ue2a9'
mossy_cobblestone_wall,'\ue2aa'
mossy_stone_bricks,'\ue2ab'
mossy_stone_brick_slab,'\ue2ac'
mossy_stone_brick_stairs,'\ue2ad'
mossy_stone_brick_wall,'\ue2ae'
mule_spawn_egg,'\ue2af'
mushroom_stem,'\ue2b0'
mushroom_stew,'\ue2b1'
music_disc_11,'\ue2b2'
music_disc_13,'\ue2b3'
music_disc_blocks,'\ue2b4'
music_disc_cat,'\ue2b5'
music_disc_chirp,'\ue2b6'
music_disc_far,'\ue2b7'
music_disc_mall,'\ue2b8'
music_disc_mellohi,'\ue2b9'
music_disc_pigstep,'\ue2ba'
music_disc_stal,'\ue2bb'
music_disc_strad,'\ue2bc'
music_disc_wait,'\ue2bd'
music_disc_ward,'\ue2be'
mutton,'\ue2bf'
mycelium,'\ue2c0'
name_tag,'\ue2c1'
nautilus_shell,'\ue2c2'
netherite_axe,'\ue2c3'
netherite_block,'\ue2c4'
netherite_boots,'\ue2c5'
netherite_chestplate,'\ue2c6'
netherite_helmet,'\ue2c7'
netherite_hoe,'\ue2c8'
netherite_ingot,'\ue2c9'
netherite_leggings,'\ue2ca'
netherite_pickaxe,'\ue2cb'
netherite_scrap,'\ue2cc'
netherite_shovel,'\ue2cd'
netherite_sword,'\ue2ce'
netherrack,'\ue2cf'
nether_brick,'\ue2d0'
nether_bricks,'\ue2d1'
nether_brick_fence,'\ue2d2'
nether_brick_slab,'\ue2d3'
nether_brick_stairs,'\ue2d4'
nether_brick_wall,'\ue2d5'
nether_gold_ore,'\ue2d6'
nether_quartz_ore,'\ue2d7'
nether_sprouts,'\ue2d8'
nether_star,'\ue2d9'
nether_wart,'\ue2da'
nether_wart_block,'\ue2db'
note_block,'\ue2dc'
oak_boat,'\ue2dd'
oak_button,'\ue2de'
oak_door,'\ue2df'
oak_fence,'\ue2e0'
oak_fence_gate,'\ue2e1'
oak_leaves,'\ue2e2'
oak_log,'\ue2e3'
oak_planks,'\ue2e4'
oak_pressure_plate,'\ue2e5'
oak_sapling,'\ue2e6'
oak_sign,'\ue2e7'
oak_slab,'\ue2e8'
oak_stairs,'\ue2e9'
oak_trapdoor,'\ue2ea'
oak_wood,'\ue2eb'
observer,'\ue2ec'
obsidian,'\ue2ed'
ocelot_spawn_egg,'\ue2ee'
orange_banner,'\ue2ef'
orange_bed,'\ue2f0'
orange_carpet,'\ue2f1'
orange_concrete,'\ue2f2'
orange_concrete_powder,'\ue2f3'
orange_dye,'\ue2f4'
orange_glazed_terracotta,'\ue2f5'
orange_shulker_box,'\ue2f6'
orange_stained_glass,'\ue2f7'
orange_stained_glass_pane,'\ue2f8'
orange_terracotta,'\ue2f9'
orange_tulip,'\ue2fa'
orange_wool,'\ue2fb'
oxeye_daisy,'\ue2fc'
packed_ice,'\ue2fd'
painting,'\ue2fe'
panda_spawn_egg,'\ue2ff'
paper,'\ue300'
parrot_spawn_egg,'\ue301'
peony,'\ue302'
petrified_oak_slab,'\ue303'
phantom_membrane,'\ue304'
phantom_spawn_egg,'\ue305'
piglin_banner_pattern,'\ue306'
piglin_brute_spawn_egg,'\ue307'
piglin_spawn_egg,'\ue308'
pig_spawn_egg,'\ue309'
pillager_spawn_egg,'\ue30a'
pink_banner,'\ue30b'
pink_bed,'\ue30c'
pink_carpet,'\ue30d'
pink_concrete,'\ue30e'
pink_concrete_powder,'\ue30f'
pink_dye,'\ue310'
pink_glazed_terracotta,'\ue311'
pink_shulker_box,'\ue312'
pink_stained_glass,'\ue313'
pink_stained_glass_pane,'\ue314'
pink_terracotta,'\ue315'
pink_tulip,'\ue316'
pink_wool,'\ue317'
piston,'\ue318'
player_head,'\ue319'
podzol,'\ue31a'
poisonous_potato,'\ue31b'
polar_bear_spawn_egg,'\ue31c'
polished_andesite,'\ue31d'
polished_andesite_slab,'\ue31e'
polished_andesite_stairs,'\ue31f'
polished_basalt,'\ue320'
polished_blackstone,'\ue321'
polished_blackstone_bricks,'\ue322'
polished_blackstone_brick_slab,'\ue323'
polished_blackstone_brick_stairs,'\ue324'
polished_blackstone_brick_wall,'\ue325'
polished_blackstone_button,'\ue326'
polished_blackstone_pressure_plate,'\ue327'
polished_blackstone_slab,'\ue328'
polished_blackstone_stairs,'\ue329'
polished_blackstone_wall,'\ue32a'
polished_diorite,'\ue32b'
polished_diorite_slab,'\ue32c'
polished_diorite_stairs,'\ue32d'
polished_granite,'\ue32e'
polished_granite_slab,'\ue32f'
polished_granite_stairs,'\ue330'
popped_chorus_fruit,'\ue331'
poppy,'\ue332'
porkchop,'\ue333'
potato,'\ue334'
potion,'\ue335'
potion_1,'\ue336'
potion_10,'\ue337'
potion_11,'\ue338'
potion_12,'\ue339'
potion_13,'\ue33a'
potion_14,'\ue33b'
potion_15,'\ue33c'
potion_16,'\ue33d'
potion_17,'\ue33e'
potion_18,'\ue33f'
potion_19,'\ue340'
potion_2,'\ue341'
potion_20,'\ue342'
potion_21,'\ue343'
potion_22,'\ue344'
potion_23,'\ue345'
potion_24,'\ue346'
potion_25,'\ue347'
potion_26,'\ue348'
potion_27,'\ue349'
potion_28,'\ue34a'
potion_29,'\ue34b'
potion_3,'\ue34c'
potion_30,'\ue34d'
potion_31,'\ue34e'
potion_32,'\ue34f'
potion_33,'\ue350'
potion_34,'\ue351'
potion_35,'\ue352'
potion_36,'\ue353'
potion_37,'\ue354'
potion_4,'\ue355'
potion_5,'\ue356'
potion_6,'\ue357'
potion_7,'\ue358'
potion_8,'\ue359'
potion_9,'\ue35a'
powered_rail,'\ue35b'
prismarine,'\ue35c'
prismarine_bricks,'\ue35d'
prismarine_brick_slab,'\ue35e'
prismarine_brick_stairs,'\ue35f'
prismarine_crystals,'\ue360'
prismarine_shard,'\ue361'
prismarine_slab,'\ue362'
prismarine_stairs,'\ue363'
prismarine_wall,'\ue364'
pufferfish,'\ue365'
pufferfish_bucket,'\ue366'
pufferfish_spawn_egg,'\ue367'
pumpkin,'\ue368'
pumpkin_pie,'\ue369'
pumpkin_seeds,'\ue36a'
purple_banner,'\ue36b'
purple_bed,'\ue36c'
purple_carpet,'\ue36d'
purple_concrete,'\ue36e'
purple_concrete_powder,'\ue36f'
purple_dye,'\ue370'
purple_glazed_terracotta,'\ue371'
purple_shulker_box,'\ue372'
purple_stained_glass,'\ue373'
purple_stained_glass_pane,'\ue374'
purple_terracotta,'\ue375'
purple_wool,'\ue376'
